url,subject,question,optionA,optionB,optionC,optionD,answer,reason,status,problem
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,Account creation at waec.org 2. Sign-in 3. Wallet funding 4. Certificate access & download Security Matching personal info with ID is mandatory. Fees,,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,"units for number recovery, 30 units for certificate access, 14 units for sharing. Limitations Withheld certificates aren't accessible/confirmable. Tech Support Complaint ticket section available; 24-hour response rule. Official Info Updates available on WAEC's official Twitter handle. Table of contents Understanding the WAEC Digital Certificate Platform Accessing Your WAEC Certificate Online: Step-by-step Guide 1. Account Creation: 2. Account Setup: 3. Personal Information: 4. Logging In: 5. Forgotten Candidate Number: 6. Funding Your Wallet: 7. Purchasing the WAEC Digital Certificate: 8. Downloading and Sharing:",,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,Account Creation:,,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,Account Setup:,,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,Personal Information:,,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,Logging In:,,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,Forgotten Candidate Number:,,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,Funding Your Wallet:,,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,Purchasing the WAEC Digital Certificate:,,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,"Downloading and Sharing: Raising Queries and Addressing Concerns Important Caveat Understanding the WAEC Digital Certificate Platform Building on its longstanding objectives of promoting academic and moral excellence, fostering sustainable human resource development, encouraging international cooperation and ensuring swift service delivery, WAEC Nigeria has launched an innovative Digital Certificate platform. Prepare for JAMB, WAEC, NECO, BECE, NCEE and Post UTME Practise CBT Exams on Mobile or PC Prepare for Post UTME, WAEC, NECO, JAMB UTME, Junior WAEC (BECE) and Common Entrance (NCEE) with the MySchoolGist CBT App and Software. Use it on Android, iPhone or Windows to practise past questions anytime. Android App iPhone App Windows 10+ Windows 7 & 8 Need help choosing the right version? Chat with us on WhatsApp . Prepare for JAMB, WAEC, NECO, BECE, NCEE and Post UTME Practise CBT Exams on Mobile or PC Prepare for Post UTME, WAEC, NECO, JAMB UTME, Junior WAEC (BECE) and Common Entrance (NCEE) with the MySchoolGist CBT App and Software. Use it on Android, iPhone or Windows to practise past questions anytime. Post UTME, WAEC, NECO, JAMB UTME, Junior WAEC (BECE) Common Entrance (NCEE) Android App iPhone App Windows 10+ Windows 7 & 8 Need help choosing the right version? Chat with us on WhatsApp . This state-of-the-art platform, available as both a mobile and web-based application, is tailored to cater to candidates, individuals, institutions and organisations alike. Among its standout features, it facilitates: Accessing and sharing certificates Accessing sharing Requesting and confirming certificate validity Retrieving forgotten WAEC candidate examination numbers Accessing Your WAEC Certificate Online: Step-by-step Guide",,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,"Account Creation: Go to waec.org on any browser. Click ""Create Account"" on the top right corner.",,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,"Account Setup: Select ""Certificate Access (Candidate)"". Fill in your contact details, ensuring your email is accessible for verification. Confirm your account using the verification code sent to your email.",,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,"Personal Information: When registering, enter your details exactly as they appear on your chosen ID form. This ensures your name on the platform and digital certificate align.",,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,"Logging In: Use your email and password to sign in. To obtain the certificate, complete the form with your Exam year, Exam type and WAEC candidate number. For ""Exam type,"" choose from: WASSCE for school candidates or WASSCE for private students 1 & 2.",,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,"Forgotten Candidate Number: If you've forgotten your candidate number, you can retrieve it by providing additional personal details and paying 3,000 Naira (12 units) via the platform's digital wallet.",,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,"Funding Your Wallet: The platform uses a digital wallet system to manage payments. You can fund your wallet by purchasing units via card, bank transfer or USSD. Transaction fees may apply. To view your unit credits, check your billing history.",,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,"Purchasing the WAEC Digital Certificate: If payments aren't reflected immediately, consider re-logging. Once funded with at least 30 units, revisit the initial form and click 'access certificate.' Provide your BVN when prompted. After verification, you'll be charged 30 units and your certificate will be available shortly.",,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/waec-digital-certificate-platform/,Unknown,"Downloading and Sharing: You can download your certificate for free. Sharing your certificate (e.g., to universities) costs 3,500 Naira (14 units). Click the share icon, enter the recipient's email, pay the fee and it's sent. Confirm receipt with the recipient. Raising Queries and Addressing Concerns For any issues or inquiries, the platform is equipped with a section enabling users to submit a complaint ticket directed to the support team. Additionally, they maintain an active presence on social media for more instantaneous interactions. The platform prides itself on its 24-hour response rule . 24-hour response rule Important Caveat According to the official WAEC Twitter handle , all certificates that have been withheld are not accessible or verifiable on this platform. certificates In summation, the WAEC Digital Certificate platform is a pioneering solution, streamlining processes and ensuring West African students and professionals can easily access their academic credentials, irrespective of their global location. Alternative admission via JUPEB/IJMB programmes (SPONSORED) Enter 200-Level Directly! Gain University Admission via JUPEB/IJMB . Enjoy Low Fees! Call 08033006849 Now! Alternative admission via JUPEB/IJMB programmes (SPONSORED) Enter 200-Level Directly! Gain University Admission via JUPEB/IJMB . Enjoy Low Fees! Call 08033006849 Now! Search MySchoolGist ... Search Tagged: West African Examinations Council : WAEC Nigeria Tagged: Share This Post: If this post helped you, share it with others! Use the buttons below to spread the word! Share This Post: WhatsApp X (Twitter) Facebook WhatsApp X (Twitter) Facebook Suggested Articles West African Examinations Council (WAEC) Results: 2026 WASSCE for School Candidates (May/June Exam) Failed 2026 WAEC May/June Exam? Urgent Solution Wish to Upgrade Your 2026 WAEC Result? Read This West African Examinations Council (WAEC) Results Statistics 2026: Pass Rates, Withheld Results and Candidate Figures WAEC GCE Registration 2026 Second Series: Fee, PIN Deadline and CBT Exam Guide [UPDATED] WAEC GCE Registration Closing Date/Deadline 2026 West African Examinations Council (WAEC) WASSCE 2026 Result Checker PIN: How School Candidates Can Get It WAEC Result: Meaning of Held or Witheld or Outstanding and Other Terms Suggested Articles Articles West African Examinations Council (WAEC) Results: 2026 WASSCE for School Candidates (May/June Exam) Failed 2026 WAEC May/June Exam? Urgent Solution Wish to Upgrade Your 2026 WAEC Result? Read This West African Examinations Council (WAEC) Results Statistics 2026: Pass Rates, Withheld Results and Candidate Figures WAEC GCE Registration 2026 Second Series: Fee, PIN Deadline and CBT Exam Guide [UPDATED] WAEC GCE Registration Closing Date/Deadline 2026 West African Examinations Council (WAEC) WASSCE 2026 Result Checker PIN: How School Candidates Can Get It WAEC Result: Meaning of Held or Witheld or Outstanding and Other Terms Previous story WAEC Result: Meaning of Held or Witheld or Outstanding and Other Terms Next story Failed 2026 WAEC May/June Exam? Urgent Solution Previous story WAEC Result: Meaning of Held or Witheld or Outstanding and Other Terms Next story Failed 2026 WAEC May/June Exam? Urgent Solution Meet The Author Olusegun Fapohunda is the founder and editor of MySchoolGist, with over a decade of experience in education publishing. He covers education updates, admission notices, examination news, scholarships, career opportunities and related public information. Connect with him on X (formerly Twitter) . Meet The Author Olusegun Fapohunda is the founder and editor of MySchoolGist, with over a decade of experience in education publishing. He covers education updates, admission notices, examination news, scholarships, career opportunities and related public information. Connect with him on X (formerly Twitter) . Home About Disclaimer Privacy Policy Quick Links Education Resources WAEC Past Questions NABTEB Past Questions JAMB Past Questions Post UTME Past Questions Universities Polytechnics Monotechnics Colleges of Education Top Universities Illegal Universities Courses JAMB WAEC NECO Jobs in Nigeria MySchoolGist Web Services is a registered publisher and marketing solutions provider in Nigeria. It publishes Myschoolgist.com, a leading digital publication that covers the latest educational trends, career opportunities and current news. Copyright © 2012 - 2026 MySchoolGist Home About Disclaimer Privacy Policy Quick Links Education Resources WAEC Past Questions NABTEB Past Questions JAMB Past Questions Post UTME Past Questions Universities Polytechnics Monotechnics Colleges of Education Top Universities Illegal Universities Courses JAMB WAEC NECO Jobs in Nigeria Quick Links Education Resources WAEC Past Questions NABTEB Past Questions JAMB Past Questions Post UTME Past Questions Universities Polytechnics Monotechnics Colleges of Education Top Universities Illegal Universities Courses JAMB WAEC NECO Jobs in Nigeria MySchoolGist Web Services is a registered publisher and marketing solutions provider in Nigeria. It publishes Myschoolgist.com, a leading digital publication that covers the latest educational trends, career opportunities and current news. Copyright © 2012 - 2026 MySchoolGist",,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/keyword/www-waecdirect-org/,Unknown,"WAEC GCE Syllabus Available Here : All Subjects Last Modified on May 20th, 2026 We recently announced the commencement of the 2026 WAEC GCE registration and the release of the WAEC GCE Timetable. After the publication, some candidates contacted us for the WAEC GCE Syllabus, but to our amazement, we've already shared the WAEC Syllabus of over 50 Subjects on this site. Apart from the WAEC …",,,,,,,REJECTED,"optionA, optionB, optionC, optionD, answer"
